item_id,description,trade,unit,unit_price,taxable
WH-50-NG,"50 gal natural gas water heater, installed",plumbing,each,1650.00,true
WH-EXP-TANK,"Thermal expansion tank, installed",plumbing,each,285.00,true
DRAIN-AUGER,"Drain auger service, main line",plumbing,visit,325.00,false
FLAPPER,"Toilet flapper replacement",plumbing,each,85.00,true
AC-RECHARGE,"AC refrigerant recharge (R-410A, per lb)",hvac,lb,95.00,true
AC-CAPACITOR,"Condenser capacitor replacement",hvac,each,240.00,true
FURNACE-TUNE,"Furnace tune-up and CO test",hvac,visit,189.00,false
GFCI-OUTLET,"GFCI outlet install/replace",electrical,each,165.00,true
PANEL-100A,"100A panel upgrade",electrical,job,3200.00,true
EV-50A,"EV charger 50A circuit install",electrical,job,1450.00,true
CEIL-FAN,"Ceiling fan install, existing box",electrical,each,210.00,true
DISPATCH-FEE,"Diagnostic / dispatch fee",any,visit,89.00,false
